tid,harmonic,sector,period,zeta,deltchi2,kurtosis,duration,tau0,depth
21442712,19.0,5,3.3208,3242.38,1.0e6,3.71306,0.03635402105263149,1438.1656960384828,0.015389204
21729403,12.0,5,2.43239,12864.9,71562.5,6.64816,0.034053460000000035,1438.7610331233266,0.026881576
22120766,2.0,9,5.05666,46696.5,4717.45,65.1578,0.04045328,1546.280094255534,0.008536696
22146154,1.0,9,6.06099,8589.4,279.775,86.5986,0.09697584000000002,1549.911862199705,0.0038974285
22390773,1.0,10,11.3046,63006.2,3844.51,207.738,0.06782760000000002,1572.0637345736043,0.006972164
22457438,17.0,10,3.06549,7902.76,2.57e7,5.84506,0.03498265058823524,1573.0928309532944,0.1320396
22481474,6.0,10,2.64201,10585.1,5567.98,12.9029,0.02465876,1572.3372557429623,0.014813602
22937402,5.0,7,6.9197,17606.0,15920.0,22.9858,0.0415182,1497.2777457451925,0.0010122657
23139612,11.0,4,2.26228,8112.86,2.06e6,5.87166,0.033728538181818195,1412.2907058298026,0.042063296
23221002,12.0,4,2.67212,8674.34,5.19e6,6.90077,0.03518291333333332,1411.0377416967349,0.06277585
23328912,1.0,10,2.56392,4836.56,765.748,38.0103,0.05640624000000001,1571.5311621634803,0.0013768226
23555025,1.0,10,4.74554,2620.66,234.212,35.9099,0.0474554,1571.125974062715,0.005615711
24194061,9.0,12,11.3612,17079.7,42437.6,30.1252,0.03787066666666668,1631.6028549999153,0.012407541
24347173,4.0,5,1.40641,2754.79,1577.15,11.6442,0.023205764999999986,1438.9116169180677,0.0010336936
24433067,2.0,5,6.18652,49321.8,18082.7,108.874,0.05567868,1441.1292955689553,0.018801242
24450633,23.0,5,5.25776,12490.8,47971.4,7.0586,0.03291814956521742,1438.8265194435232,0.12217194
24586751,9.0,5,4.61528,28971.9,1.93e6,17.169,0.033845386666666685,1442.2963744488188,0.11034793
24606516,6.0,5,2.4118,5806.13,92109.8,4.81118,0.04260846666666665,1439.7364718690085,0.032634467
24733359,4.0,9,0.756822,3656.14,248566.0,4.42838,0.03443540099999997,1545.099336439163,0.0020254254
24972851,1.0,9,4.0217,30666.0,82606.6,139.879,0.040217,1547.6121752706433,0.021542698
25078924,10.0,13,9.04193,55267.2,26458.5,21.4291,0.041592878,1660.5850360631093,0.016952515
25188036,2.0,6,6.78607,31893.5,1216.84,44.1156,0.047502489999999994,1471.1372471788932,0.61367846
27654882,3.0,7,3.34692,26520.4,2994.45,37.4326,0.049088160000000006,1493.3955016286768,0.004855424
29052041,1.0,8,9.83262,4556.31,5263.88,13.2848,0.05899572,1518.4701969991293,0.0006843507
29778064,8.0,13,3.95787,29808.9,35521.1,14.3111,0.038589232500000015,1657.476542215634,0.030582547
29780293,4.0,13,0.828923,4319.45,9046.55,4.43955,0.03481476600000001,1654.6481754434003,0.009926498
29847695,1.0,3,4.99801,4462.94,729.512,50.1777,0.06997214,1387.9771616884955,0.0009482205
29848012,13.0,3,4.539,4834.69,1.18e6,4.40026,0.034217076923076926,1390.043998125066,0.08231622
30028394,9.0,4,2.05691,6889.63,107356.0,5.50021,0.03382474222222219,1411.982086886902,0.021014273
30034081,3.0,12,7.03365,66386.8,15333.6,86.4552,0.037512800000000006,1629.6029316632175,0.03274864
30287190,2.0,11,6.24869,4219.96,317.188,43.5333,0.062486900000000005,1600.171782581541,0.0045692027
30382918,11.0,11,6.29154,21728.8,286394.0,10.4605,0.035461407272727265,1603.5930238846881,0.016539454
30531417,19.0,3,6.25078,10066.9,19225.0,9.12852,0.0447424252631579,1390.19249318192,0.007722646
30631330,14.0,5,2.7116,7704.99,708711.0,5.13098,0.03370131428571431,1440.7343636584947,0.04132223
30993392,2.0,11,5.79429,29801.4,142449.0,89.5854,0.040560030000000004,1600.0809472842027,0.015731096
31054255,9.0,6,7.86461,55250.6,14599.9,27.4605,0.03670151333333334,1475.133667654442,0.18980691
31134762,1.0,11,3.78687,14464.5,1.5e6,157.88,0.04544244,1601.8749534900594,0.028825432
31303242,1.0,5,7.05596,21593.7,1124.36,96.7518,0.08467152,1441.2384525303398,0.004463151
31415131,5.0,12,3.94799,24450.3,8359.01,18.3187,0.03474231200000001,1626.1142421186923,0.023982763
31529171,8.0,12,1.84726,5012.14,12979.7,5.02205,0.03694520000000001,1625.3319581923595,0.01634249
31655792,17.0,2,3.53674,8642.4,1.22e7,5.70897,0.037863922352941184,1355.7309147882406,0.045950413
31690845,4.0,13,4.79643,15467.4,6685.93,17.7631,0.03837144,1660.805371698978,0.0017554462
31796120,3.0,1,2.99129,40099.4,139842.0,36.9907,0.03390128666666665,1326.9081548328345,0.017617106
31810287,2.0,9,9.52296,58509.0,31379.8,121.951,0.05713775999999999,1553.3223180851703,0.021661729
